,0
0.1,1.0
0.35,1.00000000379
0.6,1.00005188101
0.85,1.00263624532
1.1,1.02275030195
1.35,1.08991175679
1.6,1.2359656345
1.85,1.4873190395
2.1,1.86463220281
2.35,2.38471149333
2.6,3.0619298638
2.85,3.90885806095
3.1,4.93644384427
3.35,6.15404003158
3.6,7.56943435938
3.85,9.18893095016
4.1,11.0174827117
4.35,13.0588561358
4.6,15.3158079833
4.85,17.7902575547
5.1,20.4834438798
5.35,23.3960622058
5.6,26.5283779612
5.85,29.8803189102
6.1,33.451547693
6.35,37.2415176506
6.6,41.249515007
6.85,45.4746903236
7.1,49.9160818136
7.35,54.5726326896
7.6,59.4432043019
7.85,64.5265864325
8.1,69.8215057671
8.35,75.3266332813
8.6,81.0405910488
8.85,86.9619587948
9.1,93.0892803893
9.35,99.4210703738
9.6,105.955820547
9.85,112.692006592
10.1,119.628094708
10.35,126.762548172
10.6,134.093833792
10.85,141.62042817
11.1,149.340823736
11.35,157.253534497
11.6,165.357101474
11.85,173.650097781
12.1,182.131133349
12.35,190.798859264
12.6,199.651971721
12.85,208.689215595
13.1,217.909387633
13.35,227.31133927
13.6,236.893979095
13.85,246.656274963
14.1,256.597255778
14.35,266.716012967
14.6,277.011701647
14.85,287.483541519
15.1,298.130817497
15.35,308.952880081
15.6,319.949145509
15.85,331.119095687
16.1,342.462277918
16.35,353.978304447
16.6,365.666851825
16.85,377.527660127
17.1,389.560532003
17.35,401.765331614
17.6,414.141983425
17.85,426.690470896
18.1,439.410835064
18.35,452.303173033
18.6,465.367636381
18.85,478.604429486
19.1,492.013807789
19.35,505.596076001
19.6,519.35158625
19.85,533.28073619
20.1,547.383967077
20.35,561.661761799
20.6,576.114642901
20.85,590.743170581
21.1,605.547940673
21.35,620.529582628
21.6,635.688757493
21.85,651.026155885
22.1,666.542495984
22.35,682.238521529
22.6,698.114999835
22.85,714.172719821
23.1,730.412490073
23.35,746.835136921
23.6,763.441502557
23.85,780.23244317
24.1,797.208827126
24.35,814.371533182
24.6,831.721448731
24.85,849.259468101
