0,1,2
12.21,4470.32226569,1515.0
6.08,4469.93359382,1230.0
9.59,4468.66406257,1240.0
-23.06,4469.96093757,1400.0
-4.47,4470.62890632,2244.0
-25.5,4467.62695319,1569.0
4.13,4468.96484382,1028.0
-6.54,4470.55078132,1208.0
4.0,4470.16601569,1355.0
-7.49,4469.82617194,1137.0
-32.06,4467.24218757,1122.0
9.82,4469.52539069,2191.0
3.6,4469.69726569,1399.0
-8.06,4468.65039069,577.0
-10.11,4469.63671882,1354.0
-10.45,4469.44531257,1326.0
13.25,4469.52539069,1617.0
3.38,4470.51562507,1244.0
13.76,4470.77148444,1499.0
-12.02,4468.38476569,1211.0
-0.56,4469.85742194,873.0
2.74,4471.37304694,1335.0
11.88,4470.37890632,1312.0
12.18,4470.40820319,1425.0
-0.13,4470.07421882,1424.0
-17.79,4468.92773444,1431.0
-11.36,4469.97851569,1265.0
3.67,4470.76367194,1563.0
19.33,4469.75781257,1422.0
-0.4,4470.63476569,1339.0
7.85,4470.07031257,1356.0
-7.78,4470.03515632,1164.0
14.08,4470.45312507,1192.0
-1.55,4470.54492194,1281.0
-17.73,4470.48242194,1233.0
-102.86,4464.55078132,1398.0
-10.13,4470.51171882,1404.0
-0.92,4469.77929694,1553.0
16.16,4469.99218757,1248.0
13.78,4470.33007819,1185.0
-13.87,4469.87890632,1328.0
-19.16,4470.13085944,1365.0
9.52,4469.69726569,1301.0
9.5,4470.22070319,1003.0
14.27,4469.00781257,1354.0
9.79,4469.62500007,1404.0
9.22,4468.71875007,1602.0
-17.13,4470.08984382,1566.0
-13.97,4471.62304694,1249.0
-0.64,4470.20117194,1081.0
19.59,4469.90625007,1348.0
-1.85,4468.67773444,1357.0
2.65,4471.29492194,1249.0
12.02,4469.13476569,1493.0
-10.4,4470.75585944,1313.0
-28.82,4469.59570319,1277.0
-8.6,4470.75390632,1430.0
-3.63,4471.09375007,1450.0
-3.36,4470.84765632,1170.0
10.12,4471.33593757,1570.0
10.4,4470.21289069,1445.0
15.3,4470.40039069,1327.0
-1.46,4471.23437507,1322.0
-8.05,4470.27148444,1413.0
6.29,4469.44921882,1282.0
-6.99,4469.92968757,1470.0
8.99,4471.10351569,1139.0
-3.68,4471.17382819,1443.0
-29.91,4469.60546882,1194.0
9.29,4470.83007819,1265.0
-10.41,4470.43164069,1175.0
-49.68,4468.76562507,1446.0
-16.56,4468.14843757,1414.0
-41.78,4468.38476569,1753.0
-18.59,4469.62109382,1562.0
-23.3,4469.97851569,1597.0
-51.34,4468.53906257,1328.0
6.59,4470.98046882,1476.0
-0.38,4472.10351569,1287.0
-1.73,4470.41210944,1411.0
-10.67,4470.73242194,1277.0
-31.41,4469.30468757,1474.0
-12.41,4471.50976569,1351.0
-22.21,4470.49609382,1476.0
-11.89,4471.33398444,1409.0
-23.28,4470.86132819,1305.0
-20.06,4469.74804694,1357.0
-6.71,4469.07812507,1382.0
15.65,4469.18554694,1499.0
11.91,4470.51562507,1204.0
7.75,4469.99218757,1526.0
8.36,4469.89648444,1555.0
6.52,4470.47265632,1068.0
5.44,4469.85937507,1444.0
7.43,4469.93164069,1049.0
-5.07,4469.75781257,1398.0
-9.71,4469.04882819,1525.0
-57.92,4469.68164069,1243.0
-39.74,4469.13476569,1477.0
-14.79,4469.86132819,1447.0
8.63,4470.28710944,1109.0
-7.0,4469.80273444,1273.0
11.2,4470.79882819,1367.0
-26.62,4469.06250007,1370.0
-18.81,4470.40234382,1404.0
3.32,4470.49804694,1471.0
-54.69,4468.98632819,1381.0
-70.16,4469.03125007,1292.0
-86.4,4468.01562507,1390.0
-28.19,4469.11718757,1420.0
-42.11,4468.87500007,1142.0
3.15,4471.84375007,1310.0
-7.1,4470.70312507,1516.0
14.25,4472.72656257,1284.0
-55.24,4469.12500007,1430.0
-70.71,4468.96289069,1391.0
-17.47,4470.44335944,1419.0
-2.79,4471.34179694,1383.0
-5.4,4470.33789069,1267.0
0.83,4470.26757819,1399.0
17.17,4469.46289069,987.0
-20.69,4469.21875007,1492.0
-4.53,4469.68945319,1243.0
19.16,4467.62109382,1624.0
20.63,4470.56054694,1455.0
21.47,4469.71679694,1373.0
17.41,4470.33007819,1339.0
13.35,4469.55078132,1156.0
-4.05,4470.57617194,1259.0
8.07,4470.73437507,1314.0
11.86,4470.80468757,1314.0
11.07,4470.24609382,1120.0
-0.35,4471.29492194,1229.0
11.68,4468.39062507,666.0
5.4,4471.81250007,1384.0
6.97,4471.47460944,1419.0
-4.33,4471.43359382,1290.0
-4.12,4472.42578132,1314.0
-30.41,4470.42968757,1354.0
-55.8,4468.71679694,1437.0
-41.38,4468.91601569,1311.0
-33.35,4469.07226569,1293.0
-43.77,4470.05859382,1544.0
20.13,4469.02148444,1613.0
14.06,4471.85937507,1308.0
4.59,4472.08007819,1465.0
