0,1,2
-75.0,1719.18737796,232.0
-63.0,1722.43719485,108.0
-55.0,1723.54537966,169.0
-47.0,1724.89715579,284.0
-43.0,1726.56085208,196.0
-51.0,1724.84906008,138.0
-39.0,1727.27511599,145.0
-35.0,1728.24993899,170.0
-23.0,1731.16912844,240.0
-31.0,1729.28314212,176.0
-27.0,1730.21569827,140.0
13.0,1733.07717898,335.0
-15.0,1732.67602542,310.0
-11.0,1733.19250491,242.0
-19.0,1731.93734744,331.0
-7.0,1733.69454959,219.0
-3.0,1733.97146609,221.0
1.0,1734.17901614,234.0
5.0,1734.11096194,236.0
9.0,1733.80258181,255.0
17.0,1731.95224002,249.0
21.0,1730.19183352,342.0
25.0,1726.80963137,28.0
