0,1,2
-128.0,12362.8958094,0.0
-120.0,12367.0487387,0.0
-112.0,12370.6406319,0.0
-116.0,12367.7684299,0.0
-104.0,12374.0655567,0.0
-108.0,12371.9679062,0.0
-96.0,12377.4280369,0.0
-100.0,12375.6346876,0.0
116.0,12367.7818005,0.0
108.0,12372.0811741,0.0
-84.0,12382.3679401,0.0
-92.0,12379.0518114,0.0
-88.0,12380.7338917,0.0
-80.0,12384.0203335,0.0
-76.0,12385.6436645,0.0
-72.0,12387.2626793,0.0
-68.0,12388.8368227,0.0
-64.0,12390.388549,0.0
92.0,12379.1997997,0.0
72.0,12387.3384897,0.0
-60.0,12391.9250299,0.0
-56.0,12393.3835022,0.0
-52.0,12394.7836458,0.0
-48.0,12396.1257841,0.0
-44.0,12397.370187,0.0
-40.0,12398.5471813,0.0
-36.0,12399.6333858,0.0
-32.0,12400.628216,0.0
-28.0,12401.5327208,0.0
-24.0,12402.3154432,0.0
-20.0,12402.9941341,0.0
-16.0,12403.5483877,0.0
-12.0,12403.9962875,0.0
-8.0,12404.3193027,0.0
-4.0,12404.5217544,0.0
0.0,12404.5806829,0.0
4.0,12404.5242893,0.0
8.0,12404.3355228,0.0
12.0,12404.00931,0.0
16.0,12403.5689918,0.0
20.0,12403.0097954,0.0
24.0,12402.3369343,0.0
28.0,12401.5598089,0.0
32.0,12400.6709387,0.0
36.0,12399.689625,0.0
40.0,12398.6261026,0.0
44.0,12397.4383671,0.0
48.0,12396.1877176,0.0
52.0,12394.856846,0.0
56.0,12393.4624464,0.0
60.0,12391.9885952,0.0
64.0,12390.4799406,0.0
68.0,12388.9226934,0.0
76.0,12385.7265493,0.0
80.0,12384.1214048,0.0
84.0,12382.5010921,0.0
88.0,12380.8567297,0.0
96.0,12377.563944,0.0
100.0,12375.7864515,0.0
104.0,12374.1956379,0.0
112.0,12370.7372772,0.0
120.0,12367.1144201,0.0
128.0,12363.0196382,0.0
