,0
0.1,3114.0
0.35,3114.00746383
0.6,3114.87372585
0.85,3120.23836805
1.1,3132.38310872
1.35,3150.66408817
1.6,3173.50806086
1.85,3199.48802414
2.1,3227.55242687
2.35,3256.98144027
2.6,3287.29714401
2.85,3318.18720749
3.1,3349.45018411
3.35,3380.95840539
3.6,3412.63323921
3.85,3444.42862328
4.1,3476.32006136
4.35,3508.29722753
4.6,3540.35897025
4.85,3572.50992691
5.1,3604.7582294
5.35,3637.11395461
5.6,3669.58808708
5.85,3702.19183487
6.1,3734.93618956
6.35,3767.83165434
6.6,3800.8880875
6.85,3834.11462391
7.1,3867.51964856
7.35,3901.11080374
7.6,3934.89501719
7.85,3968.8785423
8.1,4003.06700439
8.35,4037.46544898
8.6,4072.0783895
8.85,4106.90985276
9.1,4141.96342135
9.35,4177.24227241
9.6,4212.74921282
9.85,4248.48671068
10.1,4284.45692353
10.35,4320.66172333
10.6,4357.1027188
10.85,4393.78127517
11.1,4430.69853184
11.35,4467.8554181
11.6,4505.25266734
11.85,4542.89082976
12.1,4580.77028396
12.35,4618.89124754
12.6,4657.25378681
12.85,4695.85782579
13.1,4734.70315461
13.35,4773.78943731
13.6,4813.11621929
13.85,4852.68293426
14.1,4892.48891089
14.35,4932.53337912
14.6,4972.81547626
14.85,5013.3342527
15.1,5054.08867753
15.35,5095.07764383
15.6,5136.29997383
15.85,5177.7544238
16.1,5219.43968882
16.35,5261.35440729
16.6,5303.49716537
16.85,5345.86650108
17.1,5388.46090842
17.35,5431.27884116
17.6,5474.31871658
17.85,5517.57891897
18.1,5561.05780301
18.35,5604.753697
18.6,5648.6649059
18.85,5692.78971428
19.1,5737.12638905
19.35,5781.67318211
19.6,5826.42833284
19.85,5871.39007042
20.1,5916.5566161
20.35,5961.92618524
20.6,6007.49698932
20.85,6053.26723772
21.1,6099.23513956
21.35,6145.39890519
21.6,6191.7567478
21.85,6238.30688478
22.1,6285.04753899
22.35,6331.97694006
22.6,6379.09332542
22.85,6426.39494135
23.1,6473.88004395
23.35,6521.54689996
23.6,6569.39378755
23.85,6617.41899707
24.1,6665.62083164
24.35,6713.99760772
24.6,6762.54765567
24.85,6811.26932014
