,0
0.1,-100.0
0.35,-99.9999904125
0.6,-99.9988770962
0.85,-99.9919565905
1.1,-99.9761192419
1.35,-99.9518067092
1.6,-99.9205615052
1.85,-99.8837583356
2.1,-99.8423569319
2.35,-99.7969631673
2.6,-99.7479329211
2.85,-99.6954557492
3.1,-99.6396131492
3.35,-99.5804177001
3.6,-99.5178393361
3.85,-99.4518231438
4.1,-99.3823014976
4.35,-99.3092023217
4.6,-99.232454635
4.85,-99.1519921547
5.1,-99.0677555011
5.35,-98.9796933939
5.6,-98.8877631328
5.85,-98.7919305812
6.1,-98.6921698215
6.35,-98.5884626077
6.6,-98.4807977107
6.85,-98.3691702241
7.1,-98.2535808789
7.35,-98.1340353994
7.6,-98.0105439184
7.85,-97.8831204627
8.1,-97.7517825106
8.35,-97.6165506192
8.6,-97.4774481165
8.85,-97.3345008504
9.1,-97.187736987
9.35,-97.037186849
9.6,-96.8828827861
9.85,-96.724859071
10.1,-96.5631518129
10.35,-96.3977988837
10.6,-96.2288398523
10.85,-96.0563159223
11.1,-95.880269871
11.35,-95.7007459876
11.6,-95.5177900077
11.85,-95.331449045
12.1,-95.1417715184
12.35,-94.9488070743
12.6,-94.752606505
12.85,-94.5532216634
13.1,-94.3507053733
13.35,-94.1451113379
13.6,-93.9364940456
13.85,-93.724908674
14.1,-93.5104109941
14.35,-93.2930572732
14.6,-93.0729041796
14.85,-92.8500086873
15.1,-92.6244279833
15.35,-92.3962193766
15.6,-92.1654402103
15.85,-91.9321477764
16.1,-91.6963992339
16.35,-91.458251531
16.6,-91.2177613305
16.85,-90.9749849399
17.1,-90.729978245
17.35,-90.4827966486
17.6,-90.2334950118
17.85,-89.9821276017
18.1,-89.7287480418
18.35,-89.473409267
18.6,-89.216163483
18.85,-88.9570621294
19.1,-88.6961558469
19.35,-88.4334944484
19.6,-88.1691268931
19.85,-87.9031012656
20.1,-87.6354647565
20.35,-87.3662636477
20.6,-87.0955433004
20.85,-86.8233481451
21.1,-86.5497216761
21.35,-86.2747064467
21.6,-85.9983440685
21.85,-85.7206752115
22.1,-85.4417396073
22.35,-85.1615760542
22.6,-84.8802224235
22.85,-84.5977156677
23.1,-84.3140918309
23.35,-84.0293860597
23.6,-83.7436326155
23.85,-83.4568648886
24.1,-83.1691154124
24.35,-82.8804158793
24.6,-82.5907971569
24.85,-82.300289305
