0,1,2
-169.0,254466.500005,0.0
-165.0,261195.500005,6386.0
-161.0,261694.750005,8674.0
-157.0,261768.750005,9084.0
487.0,261399.375005,18787.0
479.0,261553.250005,18958.0
467.0,261616.375005,16159.0
475.0,261639.500005,17030.0
459.0,261650.375005,15479.0
455.0,261661.250005,15580.0
431.0,261748.875005,14521.0
423.0,261766.250005,14412.0
407.0,261790.000005,13624.0
379.0,261876.250005,12642.0
383.0,261833.750005,12158.0
363.0,261934.000005,12692.0
359.0,261936.250005,12630.0
351.0,261955.375005,12189.0
331.0,261987.750005,11096.0
319.0,262003.625005,10949.0
311.0,262051.375005,10603.0
303.0,262062.750005,10776.0
283.0,262110.625005,10163.0
-153.0,261950.250005,9912.0
-149.0,262083.500005,10400.0
-145.0,262146.125005,10759.0
-141.0,262151.500005,10578.0
-137.0,262175.375005,9629.0
-133.0,262183.625005,9475.0
-129.0,262231.750005,9846.0
263.0,262168.250005,10434.0
267.0,262164.750005,10464.0
251.0,262179.250005,10298.0
239.0,262214.375005,10151.0
243.0,262190.250005,10200.0
223.0,262236.750005,10238.0
-117.0,262268.375005,9587.0
-125.0,262248.375005,9683.0
-121.0,262248.625005,9425.0
-113.0,262272.750005,9630.0
207.0,262252.250005,10078.0
211.0,262249.750005,9988.0
219.0,262239.375005,10291.0
195.0,262267.875005,9995.0
183.0,262298.750005,9794.0
175.0,262299.875005,9459.0
167.0,262304.750005,9174.0
159.0,262319.625005,9119.0
155.0,262315.375005,9027.0
139.0,262324.625005,9021.0
119.0,262352.375005,8987.0
127.0,262345.000005,9042.0
-109.0,262289.875005,9737.0
-105.0,262303.625005,9501.0
-101.0,262312.125005,9569.0
-97.0,262345.750005,9648.0
-93.0,262347.375005,9605.0
-89.0,262355.875005,9571.0
-85.0,262361.500005,9462.0
-81.0,262366.625005,9451.0
-77.0,262369.875005,9509.0
-73.0,262373.750005,9272.0
-69.0,262373.250005,9072.0
-37.0,262389.500005,9052.0
-65.0,262388.125005,9169.0
-61.0,262388.250005,9178.0
-57.0,262388.750005,9214.0
-53.0,262391.500005,9218.0
-49.0,262390.250005,9054.0
-45.0,262387.250005,9044.0
-41.0,262386.000005,9036.0
-33.0,262390.000005,8956.0
-29.0,262390.000005,8934.0
-21.0,262390.500005,8960.0
-25.0,262386.625005,8927.0
95.0,262365.750005,9056.0
-17.0,262389.750005,8922.0
-13.0,262388.875005,8915.0
3.0,262387.875005,8831.0
-5.0,262388.625005,8877.0
-9.0,262386.750005,8910.0
-1.0,262389.250005,8816.0
7.0,262391.250005,8828.0
11.0,262387.625005,8797.0
15.0,262382.250005,8754.0
19.0,262381.875005,8821.0
23.0,262385.500005,8926.0
39.0,262375.250005,8816.0
47.0,262377.750005,8852.0
63.0,262380.000005,8908.0
27.0,262386.000005,8830.0
31.0,262384.000005,8914.0
35.0,262382.875005,8921.0
43.0,262379.750005,8892.0
51.0,262377.375005,8869.0
55.0,262376.125005,8827.0
59.0,262379.625005,8907.0
67.0,262376.125005,8887.0
71.0,262368.125005,8813.0
75.0,262369.875005,8829.0
79.0,262369.375005,8857.0
83.0,262370.000005,8860.0
87.0,262370.125005,8859.0
91.0,262365.375005,9037.0
99.0,262372.000005,9094.0
103.0,262366.125005,9059.0
107.0,262360.375005,9091.0
111.0,262356.250005,9008.0
115.0,262353.750005,9114.0
123.0,262345.000005,8942.0
131.0,262332.000005,8974.0
135.0,262325.500005,8960.0
143.0,262325.500005,8902.0
147.0,262326.625005,9033.0
151.0,262319.625005,8979.0
163.0,262316.375005,9207.0
171.0,262302.250005,9344.0
179.0,262297.375005,9761.0
187.0,262296.750005,9876.0
191.0,262282.500005,9942.0
199.0,262267.375005,9919.0
203.0,262256.375005,10019.0
215.0,262248.625005,10167.0
227.0,262221.750005,10184.0
231.0,262223.625005,10163.0
235.0,262212.375005,10087.0
247.0,262189.000005,10276.0
255.0,262170.250005,10084.0
259.0,262164.500005,10230.0
271.0,262147.375005,10429.0
275.0,262140.625005,10385.0
279.0,262134.875005,10539.0
287.0,262097.625005,10475.0
291.0,262096.000005,10996.0
295.0,262091.875005,10969.0
299.0,262054.250005,10624.0
307.0,262052.125005,10691.0
315.0,262007.625005,10693.0
323.0,261992.250005,10988.0
327.0,261990.000005,11046.0
335.0,261982.500005,11106.0
339.0,261965.750005,11552.0
343.0,261963.750005,11592.0
347.0,261982.000005,12138.0
355.0,261961.250005,12250.0
367.0,261916.000005,12510.0
371.0,261909.500005,12614.0
375.0,261915.250005,12724.0
387.0,261835.375005,12577.0
391.0,261834.875005,12493.0
395.0,261830.000005,12534.0
399.0,261808.750005,12764.0
403.0,261796.000005,13448.0
411.0,261782.625005,13917.0
415.0,261779.875005,14349.0
419.0,261775.500005,14190.0
427.0,261762.750005,15236.0
435.0,261746.375005,15051.0
439.0,261741.625005,15591.0
443.0,261734.375005,15791.0
447.0,261692.375005,15647.0
451.0,261718.625005,16015.0
463.0,261677.875005,15723.0
471.0,261649.000005,16570.0
483.0,261432.125005,16291.0
495.0,261321.000005,17900.0
507.0,261125.875005,16431.0
