,0
0.1,-10.0
0.35,-9.99990207261
0.6,-9.98846270979
0.85,-9.91447458502
1.1,-9.729043541
1.35,-9.41312384978
1.6,-8.97885840548
1.85,-8.46260720762
2.1,-7.90814576648
2.35,-7.35252332543
2.6,-6.82060330795
2.85,-6.32592334387
3.1,-5.87388418572
3.35,-5.46489276235
3.6,-5.09667040788
3.85,-4.7657179355
4.1,-4.46816028883
4.35,-4.20019383339
4.6,-3.95829886188
4.85,-3.73932129045
5.1,-3.54048550972
5.35,-3.3593736574
5.6,-3.19389064857
5.85,-3.04222514833
6.1,-2.90281155595
6.35,-2.77429528132
6.6,-2.65550211845
6.85,-2.54541177352
7.1,-2.44313525434
7.35,-2.34789568951
7.6,-2.25901211527
7.85,-2.17588579092
8.1,-2.09798864843
8.35,-2.02485353407
8.6,-1.95606595018
8.85,-1.89125705187
9.1,-1.83009769329
9.35,-1.77229335294
9.6,-1.71757979619
9.85,-1.66571935744
10.1,-1.6164977442
10.35,-1.56972128191
10.6,-1.52521453207
10.85,-1.48281822717
11.1,-1.44238747543
11.35,-1.40379019584
11.6,-1.36690575037
11.85,-1.33162374545
12.1,-1.29784297904
12.35,-1.26547051347
12.6,-1.23442085709
12.85,-1.20461524016
13.1,-1.17598097287
13.35,-1.14845087483
13.6,-1.12196276706
13.85,-1.09645901868
14.1,-1.07188614165
14.35,-1.04819442775
14.6,-1.02533762274
14.85,-1.00327263352
15.1,-0.981959264288
15.35,-0.96135997856
15.6,-0.941439684137
15.85,-0.922165538449
16.1,-0.903506772124
16.35,-0.885434528801
16.6,-0.867921719497
16.85,-0.850942890008
17.1,-0.834474100012
17.35,-0.81849281269
17.6,-0.802977793827
17.85,-0.78790901945
18.1,-0.773267591183
18.35,-0.759035658577
18.6,-0.745196347755
18.85,-0.731733695795
19.1,-0.718632590299
19.35,-0.705878713707
19.6,-0.693458491901
19.85,-0.68135904674
20.1,-0.669568152167
20.35,-0.658074193591
20.6,-0.646866130258
20.85,-0.635933460347
21.1,-0.625266188595
21.35,-0.614854796198
21.6,-0.604690212848
21.85,-0.594763790697
22.1,-0.58506728011
22.35,-0.575592807075
22.6,-0.566332852114
22.85,-0.557280230608
23.1,-0.548428074409
23.35,-0.539769814646
23.6,-0.531299165642
23.85,-0.523010109851
24.1,-0.514896883743
24.35,-0.506953964577
24.6,-0.499176057976
24.85,-0.49155808628
