0,1,2
-98.0,6298.60850248,0.0
-90.0,6302.48409662,0.0
-86.0,6303.18925771,0.0
-78.0,6307.18517503,0.0
-82.0,6305.83972368,0.0
-74.0,6309.12456808,0.0
-70.0,6310.6716424,0.0
-66.0,6312.3361083,0.0
-62.0,6313.95242891,0.0
-58.0,6315.53837118,0.0
-54.0,6317.1407691,0.0
-50.0,6318.74660883,0.0
-46.0,6320.25367746,0.0
-42.0,6321.71939382,0.0
-38.0,6323.10785494,0.0
-34.0,6324.38840399,0.0
-26.0,6326.62056074,0.0
-30.0,6325.56702814,0.0
-22.0,6327.56247434,0.0
-18.0,6328.36713705,0.0
-14.0,6329.0142375,0.0
-10.0,6329.51013765,0.0
2.0,6330.02122698,0.0
-6.0,6329.84414015,0.0
-2.0,6330.02048693,0.0
6.0,6329.84832868,0.0
10.0,6329.51978597,0.0
14.0,6329.02767572,0.0
18.0,6328.3962842,0.0
22.0,6327.60340318,0.0
26.0,6326.66165743,0.0
30.0,6325.59807024,0.0
34.0,6324.42810259,0.0
38.0,6323.1417161,0.0
42.0,6321.78531084,0.0
46.0,6320.31402502,0.0
50.0,6318.75438223,0.0
54.0,6317.08385477,0.0
58.0,6315.28039751,0.0
62.0,6313.33295259,0.0
66.0,6311.07286176,0.0
70.0,6308.71151171,0.0
