0,1,2
-13.92,585.562011727,0.0
11.92,585.599975595,0.0
-2.08,586.276550302,0.0
-8.81,588.407226571,0.0
-12.04,588.376037606,0.0
4.08,586.335998544,0.0
17.1,587.681213388,0.0
-6.46,588.80114747,0.0
17.0,586.305114755,0.0
4.48,587.708496102,0.0
17.37,587.291198739,0.0
9.69,587.282043466,0.0
7.98,588.369628915,0.0
30.62,587.025329599,0.0
16.56,586.597351083,0.0
3.0,585.202453622,0.0
-2.52,587.728027352,0.0
5.46,589.061950692,0.0
7.85,587.706237802,0.0
-4.04,588.791931161,0.0
6.46,588.805114755,0.0
11.48,588.800598153,0.0
23.83,588.395812997,0.0
-8.54,589.080932626,0.0
-7.46,589.105468759,0.0
-7.27,588.812133798,0.0
-1.98,587.702453622,0.0
7.04,588.400878915,0.0
-16.08,584.872619638,0.0
-12.06,587.693603524,0.0
-5.06,588.368164071,0.0
-7.54,588.100830087,0.0
10.27,588.386291513,0.0
1.25,589.072204599,0.0
-11.23,588.782714852,0.0
-11.25,588.654235849,0.0
1.79,589.790893563,0.0
-6.73,589.769409188,0.0
-4.5,590.456420907,0.0
-4.52,590.320373544,0.0
-7.21,590.176940927,0.0
-15.0,586.27404786,0.0
-11.52,588.402587899,0.0
-10.98,588.790161142,0.0
-11.5,589.080017099,0.0
-7.48,590.572265634,0.0
-1.44,588.79534913,0.0
-6.19,589.482299813,0.0
-1.17,588.394836435,0.0
7.58,589.09600831,0.0
2.06,589.47113038,0.0
10.81,589.790527353,0.0
14.31,588.887756356,0.0
20.6,588.387817392,0.0
20.33,589.091491708,0.0
23.56,587.714355477,0.0
10.54,589.099060067,0.0
1.52,589.483642587,0.0
14.98,588.359619149,0.0
8.94,588.495727548,0.0
9.96,589.468200692,0.0
8.25,589.781555185,0.0
2.96,589.765136728,0.0
1.94,588.796936044,0.0
-1.81,589.08062745,0.0
5.19,589.481323251,0.0
6.73,590.323242196,0.0
-1.0,589.337707528,0.0
2.48,590.392578134,0.0
5.44,589.492919931,0.0
-7.73,590.309875497,0.0
-10.44,588.56689454,0.0
-10.96,589.474426278,0.0
-10.71,589.461242685,0.0
-9.69,587.27191163,0.0
-1.71,588.415222177,0.0
5.02,590.338867196,0.0
-3.5,590.45349122,0.0
4.75,589.479492196,0.0
11.75,589.491577157,0.0
3.23,590.007385263,0.0
-3.23,589.985900888,0.0
-1.02,590.863708505,0.0
-2.96,590.327697763,0.0
-3.98,590.40081788,0.0
0.27,590.468078622,0.0
5.29,589.759399423,0.0
3.5,590.463745126,0.0
-0.75,590.275268563,0.0
0.0,590.172851571,0.0
-7.75,589.74645997,0.0
-8.27,589.758911142,0.0
-4.79,589.756042489,0.0
-5.04,589.784851083,0.0
-8.02,589.771667489,0.0
-1.29,589.782836923,0.0
-8.29,589.783569345,0.0
-0.27,590.458251962,0.0
-1.56,588.662841806,0.0
1.69,588.783142099,0.0
2.21,590.577270517,0.0
1.96,590.328918466,0.0
-4.77,589.980651864,0.0
-4.25,590.869384774,0.0
-1.27,590.464599618,0.0
5.71,590.172119149,0.0
8.52,589.7642212,0.0
14.04,589.768981942,0.0
17.27,589.081848153,0.0
20.77,587.694641122,0.0
27.06,587.275329599,0.0
30.89,587.684448251,0.0
34.12,587.714660653,0.0
45.18,586.584350595,0.0
60.24,583.833557138,0.0
