0,1,2
-11.96,849.820312513,1373.0
9.36,849.257812513,1345.0
7.61,849.343750013,1226.0
-6.61,849.062500013,1312.0
-7.14,849.593750013,1358.0
2.36,848.585937513,1215.0
12.13,848.828125013,1132.0
-14.1,849.484375013,1390.0
-10.62,848.679687513,1157.0
-13.48,848.554687513,1155.0
-5.14,849.039062513,1189.0
-1.14,849.046875013,1220.0
9.38,849.367187513,1271.0
10.65,849.210937513,1245.0
-12.6,848.640625013,1230.0
3.36,848.242187513,1119.0
5.86,848.632812513,1211.0
11.89,848.906250013,1182.0
16.14,849.242187513,1275.0
-14.56,849.242187513,1243.0
19.37,849.007812513,1313.0
-7.37,849.007812513,1203.0
-6.36,849.289062513,1273.0
-10.0,849.203125013,1210.0
-14.04,849.132812513,1307.0
-8.89,849.765625013,1232.0
-14.83,849.093750013,1302.0
-14.96,849.406250013,1228.0
-14.92,849.164062513,1285.0
-14.29,849.234375013,1204.0
-14.94,849.031250013,1214.0
-8.87,849.171875013,1376.0
-12.19,848.820312513,1167.0
-0.89,849.507812513,1175.0
0.61,849.453125013,1142.0
6.12,848.914062513,1213.0
-11.88,849.765625013,1234.0
-8.86,849.234375013,1316.0
5.87,849.093750013,1180.0
0.14,850.078125013,1280.0
-8.63,849.117187513,1291.0
14.38,849.429687513,1247.0
-14.86,849.625000013,1348.0
9.21,849.656250013,1252.0
12.58,849.554687513,1457.0
-4.25,848.609375013,1226.0
-10.75,849.382812513,1365.0
10.15,849.234375013,1196.0
-13.73,848.460937513,1081.0
-15.37,848.632812513,1121.0
-17.21,849.140625013,1192.0
18.91,849.054687513,1215.0
22.46,849.007812513,1205.0
-11.04,850.085937513,1209.0
24.02,849.109375013,1240.0
16.37,849.070312513,1277.0
10.83,849.265625013,1278.0
0.86,849.289062513,1279.0
20.85,848.882812513,1185.0
15.31,849.953125013,1256.0
21.98,848.867187513,1305.0
18.96,849.039062513,1257.0
9.14,848.539062513,1109.0
9.25,849.539062513,1367.0
-11.75,849.125000013,1260.0
-7.11,849.101562513,1227.0
-4.0,849.375000013,1278.0
-6.63,850.609375013,1292.0
-12.36,849.390625013,1334.0
-2.89,849.007812513,1131.0
5.0,849.031250013,1142.0
6.66,849.156250013,1278.0
7.6,848.742187513,1243.0
30.29,849.273437513,1271.0
7.25,848.828125013,1310.0
-2.02,851.351562513,1273.0
25.48,849.085937513,1229.0
15.98,849.109375013,1250.0
12.75,848.828125013,1146.0
12.5,849.656250013,1208.0
9.52,849.421875013,1308.0
12.63,849.375000013,1246.0
16.1,849.601562513,1265.0
19.33,848.992187513,1299.0
19.89,849.218750013,1244.0
11.0,849.179687513,1345.0
-13.25,848.929687513,1203.0
-7.12,849.070312513,1143.0
-11.31,850.679687513,1275.0
18.08,848.875000013,1218.0
12.54,849.070312513,1215.0
4.66,849.265625013,1350.0
6.41,849.156250013,1272.0
-10.36,849.523437513,1353.0
-12.61,848.890625013,1208.0
-14.81,848.843750013,1214.0
16.56,848.812500013,1200.0
-0.12,850.101562513,1227.0
-5.62,849.664062513,1311.0
-14.31,848.578125013,1130.0
4.36,848.921875013,1192.0
0.39,849.132812513,1221.0
-11.87,850.054687513,1217.0
16.31,849.484375013,1156.0
16.91,849.015625013,1306.0
7.85,850.625000013,1262.0
-0.02,850.531250013,1264.0
-14.79,849.679687513,1217.0
-14.67,849.632812513,1161.0
-6.9,850.132812513,1185.0
13.94,849.484375013,1154.0
12.33,850.125000013,1226.0
15.35,850.273437513,1205.0
-8.0,848.703125013,1120.0
16.48,848.742187513,1191.0
14.62,849.039062513,1197.0
-12.75,849.921875013,1302.0
-13.13,849.921875013,1232.0
28.93,848.976562513,1237.0
22.35,848.968750013,1244.0
18.81,849.125000013,1290.0
27.02,849.093750013,1230.0
9.98,849.359375013,1330.0
-3.14,849.109375013,1252.0
6.64,850.195312513,1249.0
-15.35,849.156250013,1228.0
16.33,849.125000013,1332.0
25.87,848.960937513,1201.0
43.74,849.031250013,1242.0
-3.75,849.812500013,1180.0
-3.89,848.898437513,1161.0
2.71,851.140625013,1260.0
-14.71,849.546875013,1220.0
13.66,848.859375013,1200.0
14.14,850.312500013,1250.0
18.02,848.718750013,1140.0
8.75,849.671875013,1214.0
21.48,849.164062513,1193.0
-5.12,849.398437513,1127.0
-10.87,848.960937513,1197.0
12.83,848.593750013,1216.0
9.73,848.968750013,1202.0
5.64,849.523437513,1235.0
17.5,849.296875013,1294.0
28.64,849.101562513,1231.0
13.42,848.828125013,1176.0
7.77,850.671875013,1206.0
15.6,849.109375013,1200.0
27.77,849.070312513,1221.0
16.94,849.250000013,1268.0
13.4,849.429687513,1345.0
12.91,849.148437513,1323.0
-11.44,851.203125013,1294.0
17.93,849.195312513,1207.0
18.73,848.734375013,1172.0
25.16,848.976562513,1201.0
18.29,849.117187513,1225.0
29.83,849.289062513,1229.0
