0,1,2
80.0,2988.08367924,0.0
72.0,2990.92877202,0.0
64.0,2992.92828374,0.0
-36.0,2993.58782963,0.0
36.0,2999.42480473,0.0
28.0,3001.05310063,0.0
20.0,3002.41601567,0.0
16.0,3002.95904545,0.0
-32.0,2996.69561772,0.0
-28.0,2999.10168461,0.0
-24.0,3000.92431645,0.0
-20.0,3002.21136479,0.0
-16.0,3003.05102544,0.0
-12.0,3003.66961674,0.0
-8.0,3004.05688481,0.0
8.0,3003.81463628,0.0
4.0,3004.07513432,0.0
-4.0,3004.16680913,0.0
-0.0,3004.2006226,0.0
12.0,3003.4572144,0.0
24.0,3001.74249272,0.0
32.0,3000.24609379,0.0
40.0,2998.56231694,0.0
44.0,2997.64599614,0.0
48.0,2996.6459351,0.0
52.0,2995.68713383,0.0
56.0,2994.73052983,0.0
60.0,2993.77386479,0.0
68.0,2991.73565678,0.0
76.0,2990.0632935,0.0
84.0,2988.32165532,0.0
88.0,2986.71881108,0.0
96.0,2985.54327397,0.0
108.0,2981.97814946,0.0
